model,hyperparam,val_acc,train_time_sec
kNN,k=3,0.8551666666666666,0.0045659542083740234
kNN,k=5,0.85825,0.002252817153930664
kNN,k=10,0.8585833333333334,0.001990795135498047
kNN,k=15,0.8535,0.002004861831665039
LogReg,C=0.01,0.8294166666666667,1.3436920642852783
LogReg,C=0.1,0.8381666666666666,5.308683156967163
LogReg,C=1.0,0.8405,40.75496482849121
LogReg,C=10.0,0.8404166666666667,15.317535877227783
